Source,Target,Weight,SourceZone,TargetZone
CHN,LBN,462.52,Asia,Asia
CHN,MYS,4.873,Asia,Asia
CHN,NZL,0.041,Asia,Oceania
CHN,NOR,15.072,Asia,Europe
CHN,PHL,1.744,Asia,Asia
CHN,POL,0.412,Asia,Europe
CHN,SEN,1.174,Asia,Africa
CHN,SRB,0.402,Asia,Europe
CHN,SGP,1.819,Asia,Asia
CHN,SVK,0.456,Asia,Europe
CHN,VNM,70.948,Asia,Asia
CHN,ESP,29.391,Asia,Europe
CHN,SWE,46.690999999999995,Asia,Europe
CHN,THA,0.035,Asia,Asia
CHN,USA,2.232,Asia,North America
CHN,UZB,109.272,Asia,Asia
COL,CUW,3.387,South America,North America
COL,GBR,0.059,South America,Europe
COD,BEL,0.057,Africa,Europe
HRV,ALB,641.566,Europe,Europe
HRV,AUT,5292.7609999999995,Europe,Europe
HRV,BIH,14242.880000000001,Europe,Europe
HRV,BGR,51.429,Europe,Europe
HRV,FRA,55.830999999999996,Europe,Europe
HRV,DEU,496.791,Europe,Europe
HRV,HUN,591.8,Europe,Europe
HRV,IRQ,0.001,Europe,Asia
HRV,ITA,27804.313000000002,Europe,Europe
HRV,MNE,6.914000000000001,Europe,Europe
HRV,NLD,0.875,Europe,Europe
HRV,ROU,292.512,Europe,Europe
HRV,SRB,9345.542,Europe,Europe
HRV,SVK,19.956,Europe,Europe
HRV,SVN,6058.975,Europe,Europe
HRV,TUR,4.359,Europe,Asia
HRV,MKD,1226.835,Europe,Europe
CYP,GRC,81.762,Asia,Europe
CYP,ITA,2.097,Asia,Europe
CYP,NLD,0.35000000000000003,Asia,Europe
CYP,RUS,59.826,Asia,Asia
CYP,GBR,3.426,Asia,Europe
CYP,USA,4.851,Asia,North America
CZE,AUT,52182.701,Europe,Europe
CZE,BEL,35.161,Europe,Europe
CZE,BGR,40.872,Europe,Europe
CZE,BLR,82.348,Europe,Europe
CZE,CAN,0.067,Europe,North America
CZE,CHL,0.004,Europe,South America
CZE,HRV,16.584,Europe,Europe
CZE,DNK,2.308,Europe,Europe
CZE,EST,304.674,Europe,Europe
CZE,FIN,1.223,Europe,Europe
CZE,FRA,583.476,Europe,Europe
CZE,DEU,272336.694,Europe,Europe
CZE,HUN,53.907,Europe,Europe
CZE,ITA,19417.015,Europe,Europe
CZE,KAZ,2.172,Europe,Asia
CZE,KOR,0.011,Europe,Asia
CZE,KWT,4.631,Europe,Asia
CZE,LVA,0.044,Europe,Europe
CZE,LTU,22.921999999999997,Europe,Europe
CZE,MDA,19.014,Europe,Europe
CZE,NLD,1990.215,Europe,Europe
CZE,POL,41922.95,Europe,Europe
CZE,ROU,898.286,Europe,Europe
CZE,RUS,313.53,Europe,Asia
CZE,SRB,3.943,Europe,Europe
CZE,SVK,3436.0080000000003,Europe,Europe
CZE,SVN,301.619,Europe,Europe
CZE,ZAF,21964.743,Europe,Africa
CZE,ESP,31.845,Europe,Europe
CZE,CHE,661.935,Europe,Europe
CZE,UKR,271.603,Europe,Europe
CZE,MKD,0.276,Europe,Europe
CZE,GBR,131.722,Europe,Europe
DNK,AUT,17.435,Europe,Europe
DNK,BEL,1871.902,Europe,Europe
DNK,CYP,1.329,Europe,Asia
DNK,CZE,0.074,Europe,Europe
DNK,EST,12.053,Europe,Europe
DNK,FIN,2069.7219999999998,Europe,Europe
DNK,FRA,5606.613,Europe,Europe
DNK,DEU,6950.448,Europe,Europe
DNK,GRL,0.502,Europe,North America
DNK,ISL,2403.608,Europe,Europe
DNK,IRL,4960.006,Europe,Europe
DNK,ITA,55.57,Europe,Europe
DNK,LVA,79.32900000000001,Europe,Europe
DNK,LTU,10040.498,Europe,Europe
DNK,LUX,0.104,Europe,Europe
DNK,NLD,14328.492,Europe,Europe
DNK,NOR,1416.9740000000002,Europe,Europe
DNK,POL,3258.914,Europe,Europe
DNK,PRT,2407.53,Europe,Europe
DNK,SVK,21.593,Europe,Europe
DNK,ESP,65553.526,Europe,Europe
DNK,SWE,18465.005,Europe,Europe
DNK,GBR,5350.887,Europe,Europe
SLV,CRI,76.749,North America,North America
SLV,GTM,120.008,North America,North America
SLV,NIC,238.28699999999998,North America,North America
EST,DZA,5891.513,Europe,Africa
EST,BEL,482.72,Europe,Europe
EST,DNK,946.671,Europe,Europe
EST,FIN,20.357,Europe,Europe
EST,DEU,222.695,Europe,Europe
EST,IRL,247.855,Europe,Europe
EST,ITA,1741.737,Europe,Europe
EST,LVA,4015.192,Europe,Europe
EST,LTU,148.012,Europe,Europe
EST,NLD,542.708,Europe,Europe
EST,NOR,34.438,Europe,Europe
EST,POL,1469.16,Europe,Europe
EST,PRT,1275.334,Europe,Europe
EST,ROU,0.053,Europe,Europe
EST,SAU,62396.018,Europe,Asia
EST,ESP,13914.092,Europe,Europe
EST,SDN,14409.809,Europe,Africa
EST,SWE,5977.137,Europe,Europe
EST,TUR,13815.435,Europe,Asia
FJI,KIR,0.031,Oceania,Oceania
FJI,VUT,0.028,Oceania,Oceania
FJI,TON,0.007,Oceania,Oceania
FJI,TUV,0.296,Oceania,Oceania
FIN,BEL,3.144,Europe,Europe
FIN,CHL,0.108,Europe,South America
FIN,DNK,1.606,Europe,Europe
FIN,EST,1.186,Europe,Europe
FIN,FRA,0.741,Europe,Europe
FIN,DEU,1207.3329999999999,Europe,Europe
FIN,ISL,5.178,Europe,Europe
FIN,ITA,1537.5620000000001,Europe,Europe
FIN,LVA,1.222,Europe,Europe
FIN,LTU,878.601,Europe,Europe
FIN,LUX,0.114,Europe,Europe
FIN,MAR,6160.043,Europe,Africa
FIN,NLD,3165.058,Europe,Europe
FIN,NZL,0.005,Europe,Oceania
FIN,NOR,243.86800000000002,Europe,Europe
FIN,PRT,1076.709,Europe,Europe
FIN,RUS,14.412,Europe,Asia
FIN,ESP,117.129,Europe,Europe
FIN,SWE,1945.308,Europe,Europe
FIN,GBR,0.422,Europe,Europe
FRA,ALB,606.132,Europe,Europe
FRA,DZA,925082.283,Europe,Africa
FRA,AGO,76520.266,Europe,Africa
FRA,AZE,20.97,Europe,Asia
FRA,ARG,6.269,Europe,South America
FRA,AUT,250.83100000000002,Europe,Europe
FRA,BEL,460241.427,Europe,Europe
FRA,BIH,5.514,Europe,Europe
FRA,BRA,1718.37,Europe,South America
FRA,BGR,532.9,Europe,Europe
FRA,BLR,117.628,Europe,Europe
FRA,CMR,58276.96,Europe,Africa
FRA,CAN,31.272000000000002,Europe,North America
FRA,CPV,3525.969,Europe,Africa
FRA,CAF,0.008,Europe,Africa
FRA,CHL,2.879,Europe,South America
FRA,CHN,133298.234,Europe,Asia
FRA,COG,9631.673,Europe,Africa
FRA,COD,5375.564,Europe,Africa
FRA,HRV,52.532,Europe,Europe
FRA,CUB,92577.81999999999,Europe,North America
FRA,CYP,3204.466,Europe,Asia
FRA,CZE,750.029,Europe,Europe
FRA,BEN,0.028,Europe,Africa
FRA,DNK,794.893,Europe,Europe
FRA,EST,77.116,Europe,Europe
FRA,FIN,2148.1299999999997,Europe,Europe
FRA,PYF,0.637,Europe,Oceania
FRA,GAB,20249.689,Europe,Africa
FRA,GEO,0.10300000000000001,Europe,Asia
FRA,GMB,8077.489,Europe,Africa
FRA,DEU,92366.48199999999,Europe,Europe
FRA,GHA,21470.415999999997,Europe,Africa
FRA,GRC,24808.094,Europe,Europe
FRA,GIN,2550.002,Europe,Africa
FRA,HKG,0.164,Europe,Asia
FRA,HUN,1659.8,Europe,Europe
FRA,IRN,0.08,Europe,Asia
FRA,IRQ,130.479,Europe,Asia
FRA,IRL,14181.098999999998,Europe,Europe
FRA,ITA,321576.735,Europe,Europe
FRA,CIV,128620.951,Europe,Africa
FRA,JPN,2703.8120000000004,Europe,Asia
FRA,KEN,0.001,Europe,Africa
FRA,KOR,691.869,Europe,Asia
FRA,LBN,2.299,Europe,Asia
FRA,LVA,3482.009,Europe,Europe
FRA,LBY,837.866,Europe,Africa
FRA,LTU,136.008,Europe,Europe
FRA,LUX,19062.5,Europe,Europe
FRA,MDG,2.881,Europe,Africa
FRA,MLI,41480.062,Europe,Africa
FRA,MLT,1225.604,Europe,Europe
FRA,MRT,61448.101,Europe,Africa
FRA,MUS,28425.220999999998,Europe,Africa
FRA,MEX,0.04,Europe,North America
FRA,MDA,9.847,Europe,Europe
